dataset,seed,split,variant,metric,value,n_examples
musique,43,all,controller_dense_only,recall@10,78.21334988277479,2417
musique,43,all,controller_dense_only,mrr,0.8123746478318261,2417
musique,43,all,controller_hkvm_only,f1,57.04821381047314,2417
musique,43,all,controller_hkvm_only,em,56.516342573438145,2417
musique,43,all,controller_hkvm_only,all_recall@10,58.254033926354985,2417
musique,43,all,controller_hkvm_only,all_recall@5,35.581299131154324,2417
musique,43,all,controller_hkvm_only,answer_support_rate,56.516342573438145,2417
musique,43,all,controller_hkvm_only,recall@5,65.91159840022065,2417
musique,43,all,controller_hkvm_only,recall@10,81.62322438284374,2417
musique,43,all,controller_hkvm_only,mrr,0.8068855855678363,2417
musique,43,all,quota_dense3_hkvm2,f1,59.01690448794233,2417
musique,43,all,quota_dense3_hkvm2,em,58.54364915184112,2417
musique,43,all,quota_dense3_hkvm2,all_recall@10,52.00661977658254,2417
musique,43,all,quota_dense3_hkvm2,all_recall@5,30.7405875051717,2417
musique,43,all,quota_dense3_hkvm2,answer_support_rate,58.54364915184112,2417
musique,43,all,quota_dense3_hkvm2,recall@5,64.4324920700593,2417
musique,43,all,quota_dense3_hkvm2,recall@10,78.58571231554268,2417
musique,43,all,quota_dense3_hkvm2,mrr,0.8156354460140145,2417
musique,43,all,rrf_dense_hkvm,f1,58.416503120790736,2417
musique,43,all,rrf_dense_hkvm,em,57.92304509722797,2417
musique,43,all,rrf_dense_hkvm,all_recall@10,62.72238311956971,2417
musique,43,all,rrf_dense_hkvm,all_recall@5,33.26437732726521,2417
musique,43,all,rrf_dense_hkvm,answer_support_rate,57.92304509722797,2417
musique,43,all,rrf_dense_hkvm,recall@5,63.54640739208385,2417
musique,43,all,rrf_dense_hkvm,recall@10,83.87119018066474,2417
